t_adx,t_cci,x_thr,t_max,r_max,r_min,mean,sd,t_mean,t_sd
10,60,0.5,125,0.09,-0.5,0.0260919131417165,0.127240149789521,54.2826273298116,48.0604541419885
10,60,0.55,110,0.09,-0.5,0.0242220176755327,0.13662878124289,50.803108235164,42.7252639627286
10,60,0.55,115,0.09,-0.5,0.0249059947220591,0.137541676268565,51.9768919443366,44.5264287209174
10,60,0.55,120,0.09,-0.5,0.0248383877441464,0.139163114748409,53.2057018565991,46.3384109680525
10,60,0.55,125,0.09,-0.5,0.0260636345233193,0.139310364956896,54.1647723473959,48.0392347105568
10,60,0.6,110,0.09,-0.5,0.024832946820506,0.137806712512114,50.5069300200159,42.7072691629275
10,60,0.6,115,0.09,-0.5,0.0255374331558929,0.138699308056269,51.6680548194139,44.5019953279258
10,60,0.6,120,0.09,-0.5,0.0254525514098761,0.140321800470484,52.894073522169,46.3109444679113
10,60,0.6,125,0.09,-0.5,0.0267260605188308,0.140378619516243,53.8450175612106,48.0051419713559
10,60,0.65,110,0.09,-0.5,0.025143807266413,0.124173981994091,50.3092937341543,42.7008897684763
10,60,0.65,115,0.09,-0.5,0.0258322561244392,0.125130292664173,51.474821397456,44.4961625390218
10,60,0.65,120,0.09,-0.5,0.0257262068755816,0.126982880230896,52.6969573682834,46.3034178641777
10,60,0.65,125,0.09,-0.5,0.0270688681252645,0.126855035794072,53.6282704177671,47.9885388070378
10,60,0.7,110,0.09,-0.5,0.02553235258283,0.123984746350867,50.1154409012014,42.6821731346376
10,60,0.7,115,0.09,-0.5,0.026061096833141,0.125115181175453,51.2887225480835,44.4773652922972
10,60,0.7,120,0.09,-0.5,0.025853955772407,0.127110443494114,52.499948810702,46.2784403893907
10,60,0.7,125,0.09,-0.5,0.0272626887977313,0.12683201289589,53.4186345409055,47.9565031958082
10,60,0.75,110,0.09,-0.5,0.0256363113200112,0.123973649949078,49.9010703926135,42.680071472369
10,60,0.75,115,0.09,-0.5,0.0260596250472458,0.125228436299549,51.0818598559267,44.481018519658
10,60,0.75,120,0.09,-0.5,0.0258263868637857,0.127248192146795,52.3014312918484,46.2880372305117
10,60,0.75,125,0.09,-0.5,0.0273883767865251,0.126816333073181,53.2056561085973,47.9606179423806
10,65,0.45,110,0.09,-0.5,0.023704341891229,0.124654917829547,51.107705755164,42.8084985283176
10,65,0.45,115,0.09,-0.5,0.0244588802629202,0.125488014779933,52.2833116529665,44.6158845382776
10,65,0.45,120,0.09,-0.5,0.0244466751020879,0.127235810155194,53.5151179328051,46.4338039550876
10,65,0.45,125,0.09,-0.5,0.0255941312920285,0.127500873511207,54.5033748076174,48.1519118132224
10,65,0.5,110,0.09,-0.5,0.0240193499630546,0.124398061238218,50.984177989962,42.8074864084764
10,65,0.5,115,0.09,-0.5,0.0247480722473232,0.125301226282435,52.1573284238519,44.6118406476839
10,65,0.5,120,0.09,-0.5,0.0247180169326066,0.127072482179831,53.3917610204541,46.4286984788159
10,65,0.5,125,0.09,-0.5,0.0258694985630197,0.127322242712729,54.3742381730542,48.1423880769103
10,65,0.55,110,0.09,-0.5,0.0240149097557671,0.137086759824113,50.9209958944012,42.7985788015114
10,65,0.55,115,0.09,-0.5,0.0247085403538309,0.137995719687405,52.0985157678114,44.6020034074677
10,65,0.55,120,0.09,-0.5,0.0246328814601091,0.139628898493491,53.3314040457506,46.416192454252
10,65,0.55,125,0.09,-0.5,0.025857143290209,0.139825032268017,54.2924986134221,48.1193132429168
10,65,0.6,110,0.09,-0.5,0.0245257295388689,0.138432374659748,50.660387506395,42.7985308552978
10,65,0.6,115,0.09,-0.5,0.0251863720690804,0.139371893731315,51.83102981208,44.5989540089699
10,65,0.6,120,0.09,-0.5,0.025069039808215,0.141046368403756,53.0650234247513,46.4127837459531
10,65,0.6,125,0.09,-0.5,0.0263714128625851,0.141121839750112,54.0144711106412,48.1097038815641
10,65,0.65,110,0.09,-0.5,0.0248936873539416,0.124215980279095,50.4324739523918,42.8149000683789
10,65,0.65,115,0.09,-0.5,0.0255462503165498,0.125250741673186,51.6011526323012,44.6128091542773
10,65,0.65,120,0.09,-0.5,0.0253775293670593,0.127217789222606,52.8306023434639,46.4235842213879
10,65,0.65,125,0.09,-0.5,0.0267628341672207,0.127085620103075,53.7566279461795,48.1084172702177
10,65,0.7,110,0.09,-0.5,0.0253676390175659,0.123969951319692,50.1990612523828,42.8035765625943
10,65,0.7,115,0.09,-0.5,0.0258422317989511,0.125212652092441,51.3765475482511,44.6013032172227
10,65,0.7,120,0.09,-0.5,0.0255676408022204,0.127299152017731,52.5969920473194,46.4060163191692
10,65,0.7,125,0.09,-0.5,0.0270066981478054,0.127049308558252,53.5093109194986,48.0826022357229
10,65,0.75,110,0.09,-0.5,0.0254339653085658,0.123787380356927,50.010810693233,42.8177938946837
10,65,0.75,115,0.09,-0.5,0.0257974453671739,0.125178280895047,51.1994290197446,44.6244684516578
10,65,0.75,120,0.09,-0.5,0.0255432431242607,0.127267352560353,52.4297333246113,46.4373107467069
10,65,0.75,125,0.09,-0.5,0.0270989874835394,0.126897440080011,53.3236350889493,48.1086071248907
15,50,0.45,110,0.09,-0.5,0.0234261537501005,0.125039099147432,51.2521449984494,42.7209425510706
15,50,0.45,115,0.09,-0.5,0.0242854600501214,0.125782864649101,52.3980901352461,44.5182373309281
15,50,0.45,120,0.09,-0.5,0.024278297067476,0.12753159257427,53.6188754012407,46.3316455197943
15,50,0.45,125,0.09,-0.5,0.0254740145045858,0.127688760651008,54.6204656575394,48.0550352807648
15,50,0.5,110,0.09,-0.5,0.0237417778049956,0.124799077742208,51.1815469467661,42.6821734321373
15,50,0.5,115,0.09,-0.5,0.0246042440295886,0.125611284308927,52.3203565392278,44.4753268556253
15,50,0.5,120,0.09,-0.5,0.0246243245277643,0.127313922967103,53.5441226511399,46.2881026797905
15,50,0.5,125,0.09,-0.5,0.0258223246548113,0.127491859909923,54.5266598977065,48.0011366102288
15,50,0.55,110,0.09,-0.5,0.0240289036719014,0.124725703303727,51.108902126596,42.6443097672217
15,50,0.55,115,0.09,-0.5,0.0248769509280591,0.125497460148271,52.241790732905,44.4322559837735
15,50,0.55,120,0.09,-0.5,0.0248877180560858,0.127224846799951,53.4662009537355,46.2431974863116
15,50,0.55,125,0.09,-0.5,0.0261166780415418,0.127359943499761,54.4260721636493,47.9447523950298
15,50,0.6,110,0.09,-0.5,0.0242954125656581,0.124591771850613,50.9223364485981,42.6375251079115
15,50,0.6,115,0.09,-0.5,0.0251460510274001,0.125378243315881,52.0526531664557,44.4235989808296
15,50,0.6,120,0.09,-0.5,0.0252386980847079,0.127001519006844,53.2679007132132,46.2296721095652
15,50,0.6,125,0.09,-0.5,0.0265752006422604,0.126977688902508,54.2147131582047,47.9224530146596
15,50,0.65,110,0.09,-0.5,0.024294324182807,0.139232757019808,50.728226429161,42.611735649961
15,50,0.65,115,0.09,-0.5,0.0251346056947505,0.139993447648281,51.8613870640389,44.3972590399593
15,50,0.65,120,0.09,-0.5,0.025201649139448,0.141536910715622,53.069448528429,46.1998746818534
15,50,0.65,125,0.09,-0.5,0.0266304222074817,0.141423131097892,54.0028591755373,47.886207503617
15,50,0.7,110,0.09,-0.5,0.0245742262389403,0.141303766865455,50.5629473879501,42.6021410684816
15,50,0.7,115,0.09,-0.5,0.0253061541621516,0.142139804183541,51.6974944959534,44.386758163661
15,50,0.7,120,0.09,-0.5,0.0252897809083023,0.143753290985945,52.9082275534589,46.1898512120076
15,50,0.7,125,0.09,-0.5,0.0267009336674185,0.143646264338074,53.8367203815105,47.8730617041246
15,50,0.75,110,0.09,-0.5,0.025030241115173,0.143730853533469,50.3769012017246,42.5858769910853
15,50,0.75,115,0.09,-0.5,0.0255870661005519,0.144774284684636,51.5107071896387,44.3694623682294
15,50,0.75,120,0.09,-0.5,0.0255397781358394,0.146383895928529,52.7201907497422,46.1725672090528
15,50,0.75,125,0.09,-0.5,0.0270359963667351,0.146172329989624,53.642449009782,47.852694827682
15,55,0.45,110,0.09,-0.5,0.0235479498161679,0.124897686885748,51.1995973463885,42.7247027794898
15,55,0.45,115,0.09,-0.5,0.0243864319622947,0.125678003502652,52.3390518223235,44.5200336104788
15,55,0.45,120,0.09,-0.5,0.024359914465212,0.127405065292579,53.574812967581,46.3388745797046
15,55,0.45,125,0.09,-0.5,0.0255277138298581,0.127646753631144,54.571788728365,48.0607046459694
15,55,0.5,110,0.09,-0.5,0.0239214972464787,0.12464976461591,51.1017447807577,42.6830958794281
15,55,0.5,115,0.09,-0.5,0.024754900291403,0.125482297373756,52.2391860987862,44.4752520671404
15,55,0.5,120,0.09,-0.5,0.0247335338261215,0.127189761570741,53.4754592225983,46.2922810218818
15,55,0.5,125,0.09,-0.5,0.0258657689688665,0.127439866338981,54.4634802501743,48.0075867297934
15,55,0.55,110,0.09,-0.5,0.0242510336814887,0.124485080867587,50.9964744041743,42.6557965076413
15,55,0.55,115,0.09,-0.5,0.0250329348864733,0.125349403152928,52.1379794352864,44.4468898726741
15,55,0.55,120,0.09,-0.5,0.0249889538586899,0.127086223645144,53.3733720980879,46.2618749763027
15,55,0.55,125,0.09,-0.5,0.0261764726303674,0.127285493314379,54.3340294558217,47.9637517164046
15,55,0.6,110,0.09,-0.5,0.0248760182082592,0.124049814136464,50.7021539742601,42.6246070290423
15,55,0.6,115,0.09,-0.5,0.0256363408091307,0.124973723770723,51.8409185803758,44.4115547169903
